구	행정동	법정동	아파트명	시공사	세대수	세대 수준	입주연월			블록	신도시
남구	항4동	항동1가	운양역 푸르지오	대우건설	1,200세대	1,000세대 이상~ 3,000세대 미만	2021.09	항4동의 대장주. 최신 커뮤니티 시설 완비			
남구	항4동	항동1가	우리나	우리건설	500세대	500세대 이상 ~ 1,000세대 미만	2017.02	건어물 여동생 우마루 팬들이 왠지 모르게 모여듦			
남구	항4동	항동1가	항동펠리페	펠리페건설	450세대	500세대 미만	2022.05	페그오 팬들과는 무관하지만 이름 때문에 오해받음			
남구	항4동	항동3가	효빈항역 행복주택	LH	800세대	500세대 이상 ~ 1,000세대 미만	2023.01	항동의 젊은 피를 담당하는 청년 특화 단지			
남구	항4동	항동3가	회산공업사원	회산건설	900세대	500세대 이상 ~ 1,000세대 미만	2000.12	공단 남측의 든든한 주거 거점			
남구	어간1동	어간동	항동엘리프	계룡건설	820세대	500세대 이상 ~ 1,000세대 미만	2023.05	어간1동 신축 대장주. 엽월대병원 전공의들이 많이 거주함			
남구	어간1동	어간동	어간양우내안에	양우건설	650세대	500세대 이상 ~ 1,000세대 미만	2015.11	대학가 인근이라 소형 평수 수요가 매우 탄탄함			
남구	어간1동	어간동	어간블렌하임	동일토건	580세대	500세대 이상 ~ 1,000세대 미만	2011.08	조경이 깔끔함. 효빈해양대생들의 주 통학로에 위치			
남구	어간1동	어간동	어간디아체	대성건설	420세대	500세대 미만	2014.03	단지 내부가 조용해서 환자 가족들의 실거주 선호도 높음			
남구	어간1동	어간동	어간주공1단지	LH	1,200세대	1,000세대 이상~ 3,000세대 미만	1985.1	재개발 대어. <s>외벽 도색은 이미 포기한 듯함</s>			
남구	어간1동	어간동	어간주공2단지	LH	1,100세대	1,000세대 이상~ 3,000세대 미만	1987.05	1단지와 함께 어간동 구축 랜드마크. 주차난 심각			
남구	어간1동	어간동	어간주공3단지	LH	950세대	500세대 이상 ~ 1,000세대 미만	1989.12	엽월대병원 뷰 가능. <s>새벽마다 응급차 소리가 라이브로 들림</s>			
남구	어간1동	어간동	어간주공4단지	LH	800세대	500세대 이상 ~ 1,000세대 미만	1990.04	주공 시리즈의 막내. 단지 내 상가 떡볶이가 유명함			
남구	어간2동	어간동	어간삼성	삼성물산	1,450세대	1,000세대 이상~ 3,000세대 미만	2001.09	어간2동 전통의 대장주. 수산시장 상인 부자들이 많이 삼			
남구	어간2동	어간동	어간현대	현대건설	980세대	500세대 이상 ~ 1,000세대 미만	1992.06	연식은 좀 됐지만 현대건설답게 뼈대가 튼튼함			
남구	어간2동	어간동	어간헤센	신한종합건설	520세대	500세대 이상 ~ 1,000세대 미만	2019.12	어간중앙역 초역세권. 1층 상가에 횟집이 없는 게 미스터리			
남구	어간2동	어간동	어간페리체	(주)대성건설	480세대	500세대 미만	2016.05	외관이 세련됨. 젊은 층 비중이 높은 준신축 단지			
남구	어간2동	어간동	어간벨리아	로컬건설	350세대	500세대 미만	2018.11	소규모지만 알찬 커뮤니티 시설을 갖춤			
남구	어간2동	어간동	어간아파트	어간개발	210세대	500세대 미만	1980.11	어간동의 시조새. <s>사실상 근대문화유산 급</s>			
남구	어간2동	어간동	고산	고산건설	450세대	500세대 미만	1988.03	지대가 약간 높아서 어간수산시장이 한눈에 내려다보임			
남구	어간2동	어간동	소장	소장토건	300세대	500세대 미만	1993.07	이름 때문에 '소장님'들만 사는 아파트냐는 아재 개그 희생양			
남구	어간2동	어간동	지안	(주)지안건설	720세대	500세대 이상 ~ 1,000세대 미만	2022.02	2동의 귀한 최신축. 인테리어가 매우 고급스러움			
남구	어간3동	어간동	블라인	로컬건설	400세대	500세대 미만	2014.07	어간해수욕장 도보권. <s>여름철 모래와의 전쟁 선포 구역</s>			
남구	어간3동	어간동	어간대라수	대라수건설	550세대	500세대 이상 ~ 1,000세대 미만	2020.1	3동의 신흥 강자. 고층 세대는 영구 오션뷰 확보			
남구	어간3동	어간동	어간애버빌	(주)에버건설	620세대	500세대 이상 ~ 1,000세대 미만	2007.12	단지 관리가 잘 되어 연식 대비 깔끔한 상태 유지 중			
남구	어간3동	어간동	항동엘리아	효빈도시공사	580세대	500세대 이상 ~ 1,000세대 미만	2021.03	이름은 항동인데 주소는 어간동인 기묘한 단지			
남구	어간3동	어간동	브링	(주)브링건설	350세대	500세대 미만	2023.09	최신 트렌드가 반영된 1~2인 가구 특화 단지			
남구	어간3동	어간동	어두	어두주택	280세대	500세대 미만	1991.02	이름이 묘하게 어둡지만(?) 실제로는 일조량 매우 좋음			
남구	어간3동	어간동	안부	안부건설	200세대	500세대 미만	1994.08	"안녕하세호" 안부 묻기 좋은 정겨운 복도식 단지			
남구	어간3동	어간동	데포리에	로컬건설	430세대	500세대 미만	2022.12	어간3동 핫플레이스 카페거리와 가장 인접함			
남구	어간3동	운양동	운양이편한세상	DL이앤씨	1,250세대	1,000세대 이상~ 3,000세대 미만	2027.03	(예정) 운양동 최대어. <s>이름은 운양인데 역은 항동에 있음</s>			
남구	어간3동	운양동	신거	신거건설	480세대	500세대 미만	2005.04	운양동의 조용한 주거 구역을 담당함			
남구	어간3동	운양동	평당지젤	두산건설(가상)	520세대	500세대 이상 ~ 1,000세대 미만	2024.06	평당신도시 영향을 받은 고급화 컨셉의 신축			
남구	어간3동	운양동	평당라피아노	RBDK	450세대	500세대 미만	2023.11	운양동의 부촌. 하이엔드 타운하우스형 아파트			
남구	어간3동	운양동	평당휴엔임	로컬건설	380세대	500세대 미만	2012.02	조용한 전원생활을 즐기기에 최적화된 단지			
남구	평당1동	평당동	평당 우미린	우미건설	1,756세대	1,000세대 이상~ 3,000세대 미만	1999.11	1동 대장주. 구축 대단지라 주차난 심각			
남구	평당1동	평당동	평당 트루엘	일성건설	1,430세대	1,000세대 이상~ 3,000세대 미만	2000.05	평당역 접근성 양호			
남구	평당1동	평당동	평당 스위첸	KCC건설	1,120세대	1,000세대 이상~ 3,000세대 미만	2001.03	최근 외벽 도색 완료하여 깔끔함			
남구	평당1동	평당동	평당 유탑유블레스	유탑건설	988세대	500세대 이상 ~ 1,000세대 미만	2002.08	1~2인 가구 타겟 소형 평수 위주			
남구	평당2동	평당동	평당 이편한세상	DL이앤씨	1,450세대	1,000세대 이상~ 3,000세대 미만	2003.1	남구청 바로 앞. 공무원 거주 비율 매우 높음			
남구	평당2동	평당동	평당 이음	효빈도시공사	1,210세대	1,000세대 이상~ 3,000세대 미만	2004.02	공공분양 및 국민임대 혼합 단지			
남구	평당2동	평당동	평당 파크사이드	산곡건설	1,150세대	1,000세대 이상~ 3,000세대 미만	2004.12	평당중앙공원 조망권 특화 단지			
남구	평당2동	평당동	평당 휴먼빌	일신건영	1,080세대	1,000세대 이상~ 3,000세대 미만	2002.06	행정타운 배후 주거지			
남구	평당2동	평당동	평당 라비다	로얄건설	890세대	500세대 이상 ~ 1,000세대 미만	2006.01	조용한 주거 환경 선호층이 선호			
남구	평당2동	평당동	평당 빌리브	신세계건설	850세대	500세대 이상 ~ 1,000세대 미만	2007.05	주상복합 형태. 하부 상업시설 발달			
남구	평당2동	평당동	평당 디아채	신한종합건설	780세대	500세대 이상 ~ 1,000세대 미만	2005.09	단지 내부 산책로가 잘 조성됨			
남구	평당3동	평당동	평당 중앙하이츠	중앙건설	1,650세대	1,000세대 이상~ 3,000세대 미만	2005.11	남부경찰서 인근이라 치안 만족도 최상			
남구	평당3동	평당동	평당 도뮤토	포스코이앤씨	1,520세대	1,000세대 이상~ 3,000세대 미만	2006.04	탄탄한 브랜드 이미지로 가격 방어 잘 됨			
남구	평당3동	평당동	평당 호르	로컬건설	1,440세대	1,000세대 이상~ 3,000세대 미만	2005.08	이름이 특이하여 지역 내 인지도가 높음			
남구	평당4동	평당동	평당 데시안	태영건설	980세대	500세대 이상 ~ 1,000세대 미만	2008.03	남구 공업지구 배후 주거지. 직주근접 우수			
남구	평당4동	평당동	평당 헤리움	힘찬건설	750세대	500세대 이상 ~ 1,000세대 미만	2010.11	수익형 오피스텔 위주 구성			
남구	평당4동	평당동	평당 노블리안	로컬건설	720세대	500세대 이상 ~ 1,000세대 미만	2009.06	예술회관 인근 문화 생활권			
남구	평당5동	평당동	평당 필하우스 1단지	한성건설	1,420세대	1,000세대 이상~ 3,000세대 미만	2009.1	롯데백화점 인근 '슬세권'. 지역 내 고가 단지			
남구	평당5동	평당동	평당 하나리움	로컬건설	1,350세대	1,000세대 이상~ 3,000세대 미만	2011.05	전세대 대형 평수 위주. 부촌 이미지 강함			
남구	평당5동	평당동	평당 필하우스 2단지(서부)	한성건설	1,100세대	1,000세대 이상~ 3,000세대 미만	2010.02	필하우스 브랜드 타운의 서측 구역			
남구	평당5동	평당동	평당 제일	제일건설	1,050세대	1,000세대 이상~ 3,000세대 미만	2008.12	전통적인 평당5동 부촌 단지			
남구	평당5동	평당동	평당 데시안 동부	태영건설	980세대	500세대 이상 ~ 1,000세대 미만	2011.09	동부 상권과 인접한 신축급 관리 상태			
남구	평당5동	평당동	평당 코아루	한국토지신탁	890세대	500세대 이상 ~ 1,000세대 미만	2012.04	평당역 도보권. 교통 및 상권 이용 편리			
남구	평당5동	평당동	소진아파트	가상건설	750세대	500세대 이상 ~ 1,000세대 미만	2007.01	현재 재건축 및 리모델링 논의 중			
남구	평당6동	평당동	평당 아이파크 1차	HDC현대산업개발	1,380세대	1,000세대 이상~ 3,000세대 미만	2014.07	6동 대장주. 초등학교를 품은 '초품아' 단지			
남구	평당6동	평당동	평당 필하우스 2단지(동부)	한성건설	950세대	500세대 이상 ~ 1,000세대 미만	2010.02	과학대학교와 인접한 학세권 단지			
남구	평당6동	평당동	평당 블루힐스	로컬건설	880세대	500세대 이상 ~ 1,000세대 미만	2013.11	고지대에 위치하여 도시 야경 조망 우수			
남구	평당6동	평당동	평당 중해마루힐	중해건설	760세대	500세대 이상 ~ 1,000세대 미만	2015.03	민간임대에서 분양 전환된 단지			
남구	평당6동	평당동	평당 지원더뷰	지원건설	650세대	500세대 이상 ~ 1,000세대 미만	2016.08	최신 트렌드의 평면 설계 적용			
남구	평당6동	평당동	대택아파트	대택건설	550세대	500세대 이상 ~ 1,000세대 미만	1998.05	평당6동 초기 아파트. 재건축 추진 단계			
남구	평당6동	평당동	산리 아파트	로컬건설	480세대	500세대 미만	1999.11	소규모지만 알찬 단지 관리			
남구	평당6동	평당동	평당 이라이	가상건설	470세대	500세대 미만	2001.03	학원가 진입로에 위치하여 수요 꾸준함			
남구	평당7동	평당동	평당 자이 1단지	GS건설	1,420세대	1,000세대 이상~ 3,000세대 미만	2020.01	자이 타운의 핵심. 단지 내 커뮤니티 시설 방대			
남구	평당7동	평당동	평당 자이 2단지	GS건설	1,250세대	1,000세대 이상~ 3,000세대 미만	2020.1	자이 타운 내 조경 특화 단지			
남구	평당7동	평당동	평당 자이 3단지	GS건설	1,310세대	1,000세대 이상~ 3,000세대 미만	2021.05	학교 부지와 가장 가까운 안심 통학권			
남구	평당7동	평당동	평당 자이 4단지	GS건설	1,220세대	1,000세대 이상~ 3,000세대 미만	2022.05	평당7동 최신축 단지 중 하나			
남구	평당7동	평당동	평당 한진스카이뷰 1차	한진중공업	1,200세대	1,000세대 이상~ 3,000세대 미만	2018.11	고층 세대 바다 조망권 확보			
남구	평당7동	평당동	평당 한진스카이뷰 2차	한진중공업	1,250세대	1,000세대 이상~ 3,000세대 미만	2019.03	1차와 합쳐 거대 브랜드 타운 형성			
남구	평당7동	평당동	평당 양우내안에 1차	양우건설	1,050세대	1,000세대 이상~ 3,000세대 미만	2017.06	가성비 좋은 신축으로 젊은 층 선호			
남구	평당7동	평당동	평당 양우내안에 2차	양우건설	1,050세대	1,000세대 이상~ 3,000세대 미만	2017.12	트레이더스 상권 이용이 매우 편리함			
남구	평당7동	평당동	평당 아이파크 2차	HDC현대산업개발	1,950세대	1,000세대 이상~ 3,000세대 미만	2019.04	평당7동 단일 단지 최대 세대수 자랑			
남구	평당7동	평당동	평당 해모로	한진중공업	1,800세대	1,000세대 이상~ 3,000세대 미만	2021.09	최신 커뮤니티와 스마트 홈 시스템 적용			
남구	평당7동	평당동	평당 풍림아이원	풍림산업	1,550세대	1,000세대 이상~ 3,000세대 미만	2016.12	평당7동의 입주 초기 인기를 견인한 단지			
남구	평당7동	평당동	평당 우방 아이유쉘	우방건설	1,480세대	1,000세대 이상~ 3,000세대 미만	2023.02	최근 입주 단지로 주거 만족도 높음			
남구	평당7동	평당동	평당 흥한웰가	흥한건설	1,250세대	1,000세대 이상~ 3,000세대 미만	2018.03	대형 평형 위주의 고급화 단지			
남구	평당7동	평당동	평당 두레라움	로컬건설	1,100세대	1,000세대 이상~ 3,000세대 미만	2015.1	지역 특화 브랜드로 인지도 높음			
남구	평당7동	평당동	평당 하브	로컬건설	950세대	500세대 이상 ~ 1,000세대 미만	2016.02	깔끔한 단지 배치와 저렴한 관리비			
남구	평당7동	평당동	능남아파트	능남건설	850세대	500세대 이상 ~ 1,000세대 미만	2005.07	평당7동 내 구축이지만 입지 조건 최상			
남구	평당7동	평당동	남서아파트	남서건설	1,100세대	1,000세대 이상~ 3,000세대 미만	2006.11	넓은 동간 간격으로 사생활 보호 우수			
남구	평당7동	평당동	평당 해안아파트	미정	미정	미정	미정	베이퍼웨어. 부지만 확보되고 수년째 착공 지연			
남구	평당7동	평당동	평당동 92-12번지	미정	미정	미정	미정	계획은 있으나 사업 추진 불투명 구역			
남구	고당동	평당동	평당주공 1단지	LH	2,400세대	1,000세대 이상~ 3,000세대 미만	2018.05	국민임대 매머드급 대단지			
남구	고당동	평당동	평당주공 2단지	LH	2,150세대	1,000세대 이상~ 3,000세대 미만	2019.1	신혼부부 및 사회초년생 수요 많음			
남구	고당동	평당동	평당주공 3단지	LH	1,980세대	1,000세대 이상~ 3,000세대 미만	2020.12	8호선 고당역 초역세권 단지			
남구	고당동	평당동	평당 라피아노 1단지	알비디케이	680세대	500세대 이상 ~ 1,000세대 미만	2021.06	고급 타운하우스형 아파트. 전문직 및 고소득층 거주			
남구	고당동	고간동	평당 풍림아이원	풍림산업	1,250세대	1,000세대 이상~ 3,000세대 미만	2007.11	고간동 최대 단지. 이름은 평당이지만 생활권은 고간동 공구단지 중심임.			
남구	고당동	고간동	자이르네	GS건설	580세대	500세대 이상 ~ 1,000세대 미만	2022.03	히카와 히나 성지. 단지 도색에 민트색 포인트가 있어 팬들이 <s>룽-하게</s> 거주 중.			
남구	고당동	고간동	타운힐스	로컬건설	420세대	500세대 미만	1999.05	빙천공구단지 바로 옆. 주민들 대다수가 인근 상가 사장님들이라는 설이 지배적임.			
남구	곽산1동	곽산동	곽산 대라수	대라수건설	520세대	500세대 이상 ~ 1,000세대 미만	2021.1	1동의 귀한 준신축. 공단 뷰지만 인테리어는 세련됨			
남구	곽산1동	곽산동	곽산하브	로컬건설	380세대	500세대 미만	2016.05	소규모 단지. 조용하게 살기 좋음			
남구	곽산1동	곽산동	곽산 한양아이 클래스 동부	(주)한양	450세대	500세대 미만	2014.12	동부 공업지역 인근 근로자들의 주력 거주지			
남구	곽산1동	곽산동	한양수자인 곽산 아파트 동부	(주)한양	720세대	500세대 이상 ~ 1,000세대 미만	2015.08	1동에서 가장 인지도 높은 브랜드 단지			
남구	곽산1동	곽산동	곽산 우리	우리건설	300세대	500세대 미만	1992.03	1동의 터줏대감. 전철역이 멀어 자차 필수인 곳			
남구	곽산1동	곽산동	부신나	부신건설	210세대	500세대 미만	1995.11	이름 때문에 주민들이 "부자 되는 신나는 아파트"라고 부름			
남구	곽산1동	곽산동	더파크 곽산(예정)	(주)파크건설	850세대	500세대 이상 ~ 1,000세대 미만	2027.05	(예정) 1동 재개발의 신호탄. 숲세권 조성 예정			
남구	곽산1동	곽산동	풍림아이원 곽산(예정)	풍림산업	600세대	500세대 이상 ~ 1,000세대 미만	2028.02	(예정) 노후 주택가를 허물고 짓는 브랜드 단지			
남구	곽산2동	곽산동	광암	광암주택	250세대	500세대 미만	1982.09	곽산동의 조상님. 곽암도 시절의 흔적이 남은 구축			
남구	곽산2동	곽산동	곽암바다	해양개발	420세대	500세대 미만	1994.07	이름 그대로 바다 옆. <s>여름철 모래와의 전쟁 선포 구역</s>			
남구	곽산2동	곽산동	곽암비치	해양개발	380세대	500세대 미만	1996.02	곽암해수욕장 도보 3분. 겨울 바다 뷰가 예술임			
남구	곽산2동	곽산동	곽산 한양아이클래스 서부	(주)한양	550세대	500세대 이상 ~ 1,000세대 미만	2013.11	곽산역세권 수혜 단지. 젊은 층 비중이 높음			
남구	곽산2동	곽산동	한양수자인 곽산 서부	(주)한양	890세대	500세대 이상 ~ 1,000세대 미만	2014.04	2동 상권 중심지에 위치하여 생활이 매우 편리함			
남구	곽산2동	곽산동	곽산두라	두라건설	400세대	500세대 미만	1998.1	곽암차량기지 인근. <s>전동차 구경하기 제일 좋은 곳</s>			
남구	곽산2동	곽산동	곽산 현대	현대건설	1,100세대	1,000세대 이상~ 3,000세대 미만	2002.06	2동 전통의 대장주. 단지가 넓고 관리가 매우 잘 됨			
남구	곽산2동	곽산동	곽산인파크	HDC현대산업개발	650세대	500세대 이상 ~ 1,000세대 미만	2009.08	고급화 컨셉으로 지어져 동네 부자들이 많이 삼			
남구	곽산2동	곽산동	회산역 푸르지오	대우건설	1,250세대	1,000세대 이상~ 3,000세대 미만	2020.12	곽산동의 현재 대장. 시세 리더이자 평당회산시장 인접			
남구	곽산2동	곽산동	곽산더샵 (예정)	포스코이앤씨	1,400세대	1,000세대 이상~ 3,000세대 미만	2028.01	(예정) 곽산역 초역세권 랜드마크 단지 예정	행정구	행정동	법정동
동구	사가당1동	사가당동	사가당주공1단지	대한주택공사	1,250세대	1,000세대 이상~ 3,000세대 미만	1986년 11월	사가당동의 역사를 함께한 최고참 단지. 재건축 떡밥이 무성하지만 역세권 입지 덕에 가격이 안 떨어진다.			
동구	사가당1동	사가당동	사가당주공2단지	대한주택공사	1,100세대	1,000세대 이상~ 3,000세대 미만	1988년 5월	1단지와 형제 단지. 효빈역이 코앞이라 출퇴근 시간엔 단지 내 지름길이 인근 직장인들로 붐빈다.			
동구	사가당1동	사가당동	효빈역주공	대한주택공사	950세대	500세대 이상 ~ 1,000세대 미만	1989년 9월	사가당1동의 인구 밀집을 책임지는 구축. 단지 내 상가의 떡볶이가 효빈역 명물로 통한다.			
동구	사가당1동	사가당동	효빈역아쿠아	효빈건철	850세대	500세대 이상 ~ 1,000세대 미만	2022년 3월	쿼드러플 역세권의 랜드마크 주상복합. 이름답게 외관이 푸른 유리로 덮여 있어 멀리서도 잘 보인다.			
동구	사가당1동	사가당동	사가당 우미린	우미건설	720세대	500세대 이상 ~ 1,000세대 미만	2018년 10월	효빈동부경찰서 인근에 위치한 신축급 단지. 치안 하나는 효빈시 최고 수준이라고 자부한다.			
동구	사가당2동	사가당동	사가당 푸르지오 1단지	대우건설	1,150세대	1,000세대 이상~ 3,000세대 미만	2014년 6월	사가당2동의 대장 아파트. 주변에 학교가 밀집해 있어 등하교 시간엔 애들 소리로 활기차다.			
동구	사가당2동	사가당동	사가당 롯데	롯데건설	1,220세대	1,000세대 이상~ 3,000세대 미만	2005년 8월	사가당고등학교와 인접한 대단지 브랜드 아파트. 조경이 잘 되어 있어 주민들 산책로로 애용된다.			
동구	사가당3동	사가당동	사가당1단지	사가당건설	1,020세대	1,000세대 이상~ 3,000세대 미만	1991년 4월	구도심 쇠퇴기 시절을 견뎌낸 단지. 최근 서브컬처 상권 부활로 젊은 층 유입이 다시 늘고 있다.			
동구	사가당3동	사가당동	사가당2단지	사가당건설	980세대	500세대 이상 ~ 1,000세대 미만	1993년 7월	3동의 '구도심 감성'을 담당하는 단지. 좀비 테마 상권과 가까워 할로윈 때면 단지 전체가 시끌벅적하다.			
동구	사가당3동	사가당동	사가당 푸르지오 2단지	대우건설	1,050세대	1,000세대 이상~ 3,000세대 미만	2016년 9월	재개발을 통해 들어선 최신식 단지. 낡은 3동 분위기를 반전시킨 주역 중 하나다.			
동구	사가당3동	사가당동	사가당 주공3단지	대한주택공사	1,180세대	1,000세대 이상~ 3,000세대 미만	1995년 12월	사가당역 초역세권 단지. 가챠 대박을 꿈꾸는 덕후들이 가끔 단지 내 벤치에서 가챠를 돌린다.			
동구	사가당4동	사가당동	덕현주공3단지	대한주택공사	1,350세대	1,000세대 이상~ 3,000세대 미만	1994년 2월	옆 동네 덕현동과 경계에 있어 이름이 덕현주공이다. 실생활권은 사가당동에 더 가깝다.			
동구	사가당4동	사가당동	사가당 엘라스틱	가동건설	1,420세대	1,000세대 이상~ 3,000세대 미만	2024년 1월	가동사거리역 인근 신축. 카토 메구미 성지답게 '스텔스 힐링' 컨셉으로 조용하고 평온한 주거 환경을 지향한다.			
동구	덕현1동	덕현동	GS자이 덕현(동부)	GS건설	1,250세대	1,000세대 이상~ 3,000세대 미만	2008	1동 대장 아파트. 이름이 너무 길어서 부르기 힘듦			
동구	덕현1동	덕현동	덕현 서희스타힐스	서희건설	850세대	500세대 이상 ~ 1,000세대 미만	2022	말 많던 지역주택조합의 기적적인 성공 신화			
동구	덕현1동	덕현동	덕현아파트 1차	덕현건설	500세대	500세대 이상 ~ 1,000세대 미만	1985	재건축 추진 현수막이 아파트 외벽의 일부가 됨			
동구	덕현1동	덕현동	덕현아파트 2차	덕현건설	450세대	500세대 미만	1987	1차와 함께 재건축 존버단의 성지			
동구	덕현1동	덕현동	덕현 시영	효빈도시공사	1,100세대	1,000세대 이상~ 3,000세대 미만	1989	복도식의 정석. 외벽 도색이 시급해 보임			
동구	덕현2동	덕현동	덕현3아파트	삼익건설	600세대	500세대 이상 ~ 1,000세대 미만	1988	주차 전쟁터. 이중주차 안 하면 간첩 소리 들음			
동구	덕현2동	덕현동	덕현역 아파트 1단지	효빈건설	980세대	500세대 이상 ~ 1,000세대 미만	1995	덕현역 초역세권. 입지 하나로 모든 게 설명됨			
동구	덕현2동	덕현동	덕현주공 1단지	LH	1,500세대	1,000세대 이상~ 3,000세대 미만	1984	동구 재건축 최대어. 몸테크 하는 판사님들 썰 있음			
동구	덕현2동	덕현동	벨리움아파트	계룡건설	400세대	500세대 미만	2021	2동의 귀한 신축 주상복합. 하부 상가가 매우 알참			
